timestamp,open,high,low,close,volume,turnover
1733011200000,96547.5,104645,90290,98927.5,7714433502,78542.45047486
1730419200000,70231.5,99776,66778.5,96547.5,38208487890,441021.61728896
1727740800000,63281.5,73666,58821,70231.5,17049891429,258868.55789659
1725148800000,58954,66497,52475,63281.5,14515246330,243465.3207699
1722470400000,64610,65592,48900,58954,28748057930,486890.71512609
1719792000000,62706.5,70098.5,53216,64610,22593068786,361779.21320961
1717200000000,67500,72086,58166,62706.5,16168195264,244981.67601576
1714521600000,60637.5,72069.5,56415,67500,17433265737,269503.04461336
1711929600000,71401.5,72874.5,59106,60637.5,23861694908,363228.03208305
1709251200000,61262.5,73951.5,59088,71401.5,41383700825,613207.47537549
1706745600000,42540,64462,41804,61262.5,22694277670,436284.43071662
1704067200000,42302,49045.5,38500,42540,21454966152,492943.08164648
1701388800000,37727,44769,37611,42302,19830010885,467823.62172412
1698796800000,34689.5,38529.5,34031.5,37727,18257120087,502160.22362085
1696118400000,26960,35750,26500,34689.5,15558043896,514079.97233048
1693526400000,25913.5,27480.5,24855,26960,9038573161,343558.87498539
1690848000000,29213,30244.5,23595,25913.5,11660947792,421401.9413913
1688169600000,30460.5,31869,28827,29213,12037155871,398539.42857383
1685577600000,27210.5,31475,24744,30460.5,15708230397,565051.38329607
1682899200000,29237,29869.5,25789,27210.5,16049029551,581404.84957332
1680307200000,28465.5,31069.5,26925,29237,19290856164,668423.30511284
1677628800000,23134,29182,19526,28465.5,29528154397,1180970.6820990699
1675209600000,23138.5,25351,21371,23134,22340070138,952427.3958337801
1672531200000,16529.5,23967.5,16492,23138.5,18864267344,896653.46536498
1669852800000,17148,18375,16261,16529.5,9336106842,549179.39544975
1667260800000,20484,21468,15437,17148,16664811840,936779.36712331
1664582400000,19411,21088,18009,20484,16454871983,836988.17977161
1661990400000,20041,22810.5,18090,19411,25565091517,1292057.76811489
1659312000000,23301,25211,19513,20041,23871147229,1070580.6998738199
1656633600000,19916.5,24700,18755,23301,32469608143,1515533.0558915399
1654041600000,31756.5,31960.5,17567,19916.5,46878899058,1999127.1597472499
1651363200000,37615,40031.5,25222,31756.5,53494044956,1706659.2815724199
1648771200000,45509.5,47500,37554,37615,40256048267,965819.34487107
1646092800000,43180,48207.5,37151.5,45509.5,48282548037,1150862.6966454
1643673600000,38467.5,45848,34322,43180,43596268197,1080983.1847490401
1640995200000,46195,47988,32903,38467.5,51746590293,1287058.9037618474
1638316800000,56979,59128.5,41274,46195,64501441608,1307034.6726136776
1635724800000,61421.5,69182.5,53304.5,56979,83510266453,1372473.1161811829
1633046400000,43800,67167.5,43282,61421.5,121117874649,2094281.8587584647
1630454400000,47177,52949,39500,43800,119770759770,2606716.2619507709
1627776000000,41447,50564.5,37282.5,47177,140234638444,3109142.5455961106
1625097600000,35027,42444,29258,41447,116095012975,3360868.9300300227
1622505600000,37253.5,41338,28726.5,35027,150972604322,4294635.1486083083
1619827200000,57763.5,59697,29800,37253.5,219144807279,5002693.9646017766
1617235200000,58822,64990,47000,57763.5,219597504143,3888753.8797671511
1614556800000,45239.5,62000,45087,58822,252191611259,4600344.3082820019
1612137600000,33136.5,58500,32327,45239.5,200016927237,4264636.836373888
1609459200000,28955,42097,27744,33136.5,198439293229,5719965.2826504027
1606780800000,19734.5,29541,17550,29370,92989182206,4161333.8333331165
1604188800000,13808,19953,13204.5,19734.5,76788483138,4605304.2989350418
1601510400000,10773.5,14149,10376.5,13808,29553755262,2419144.7622479242
1598918400000,11660,12074.5,9821.5,10773.5,22221168655,2090098.2271902899
1596240000000,11360.5,12491,10537.5,11660,33798443750,2908744.8478596197
1593561600000,9130.5,11471.5,8903.5,11360.5,21288662090,2136557.3648944763
1590969600000,9443,10444,8823.5,9130.5,21124919209,2232560.5366527988
1588291200000,8628.5,10098.5,8088,9443,39377970876,4280643.6997844595
1585699200000,6424,9482.5,6155,8628.5,24601554461,3360241.3340457375
1583020800000,8535,9224,3730,6424,30487925547,4770047.7781243781
1580515200000,9346,10549.5,8441,8535,24934218621,2578988.9134525354
1577836800000,7169,9575,6854.5,9346,27439678684,3286979.4167106887
1575158400000,7556,7795,6420,7169,23456603241,3243755.4500006041
1572566400000,9160,9612.5,6519,7556,26384665613,3356282.6842998117
1569888000000,8297,10558,7301,9160,27399718141,3174389.3031489076
1567296000000,9606.5,10962,7690,8297,23753525574,2494292.8359942087
1564617600000,10090,12342.5,9322.5,9606.5,20525548041,1922116.9137543777
1561939200000,10767,13247,9084.5,10090,22004268319,2066170.2744356431
1559347200000,8552,13916,7435,10767,13101353822,1299305.4197036389
1556668800000,5264,9100,5260,8552,5471056209,742091.0316951915
1554076800000,4091,5650.5,4041.5,5264,1693509272,326535.5330768793
1551398400000,3788,4128,3669.5,4091,219035095,56031.4071852621
1548979200000,3411.5,4186.5,3334.5,3788,195475613,53219.4796925093
1546300800000,3691,4115,3344,3411.5,246425490,67360.5426794606
1543622400000,3975.5,4266.5,3069,3691,219260686,60401.1443153006
1541030400000,5740,5740,3441,3975.5,172913744,36617.36793441
